id_personnage;nom_personnage;prenom_personnage;date_naissance_personnage
178;Amanda;Missy;
179;Bookbinder;Nina;
180;Strip-teaseuse;Nina;
181;Marjorie;Nina;
182;Tribbiani;Gina;
183;Cailin;Gina;
184;Tribbiani;Dina;
185;d’Hayley;Colocataire;
186;Leslie;Colocataire;
187;Angela;Colocataire;
188;Annabel;Colocataire;
189;Hayley;Colocataire;
190;Melissa;Colocataire;
191;Hornswaggle;Elizabeth;
192;Sandy;Elizabeth;
193;Sergeï;Elizabeth;
194;Don;Elizabeth;
195;Julio;Elizabeth;
196;Stuart;Elizabeth;
197;Tribbiani;Cookie;
198;Alex;Cookie;
199;Frances;Cookie;
200;Robert;Cookie;
201;Kristen;Cookie;
202;Jason;Cookie;
203;Rathman;Kurt;
204;Wayne;Kurt;
205;Poughkeepsie;Femme de;
206;télévisées;Producteur de séries;
207;Vince;Producteur de séries;
208;Lives;Réalisateur de Days Of Our;
209;Michael;Réalisateur de Days Of Our;
210;Michelle;Réalisateur de Days Of Our;
211;Nelson;Jim;
212;Ford;Kash;
213;Shelley;Kash;
214;Cynthia;Kash;
215;Monica;Comptable de;
216;enfant;Chandler;
217;Dirk;Chandler;
218;Lowder;Kyle;
219;Mabel;Kyle;
220;Lives;Acteur dans Days Of Our;
221;Graff;Julie;
222;Matthews;Chip;
223;Ramorey;Striker;
224;Ashford;Matthew;
225;Roger;Matthew;
226;Betsy;Matthew;
227;Bob;Matthew;
228;cuisine;Employé de;
229;Hombre;El;
230;Lives;Actrice dans Days of our;
231;Spafford;Professeur;
232;Drew;Professeur;
233;Tim;Professeur;
234;Mike;Professeur;
235;Jeannine;Professeur;
236;Melanie;Professeur;
237;Brady;Hope;
238;Tribbiani;Nonnie;
239;Dave;Nonnie;
240;Ross;Petite amie scientifique de;
241;Lives;Infirmière, actrice de Days Of Our;
242;Lives;Infirmière, actrice de Days Of Our;
243;Wesley;Dr;
244;Turner;Adrienne;
245;enfant;Ross;
246;Alan;Ross;
247;Misha;Ross;
248;Jordan;Ross;
249;Kathy;Ross;
250;Lassiter;Chase;
251;Olivia;Chase;
252;Sr;Joey Tribbiani;
253;Frannie;Joey Tribbiani;
254;Dina;Joey Tribbiani;
255;Celia;Joey Tribbiani;
256;Nancy;Joey Tribbiani;
257;Lorraine;Joey Tribbiani;
258;Ethan;Joey Tribbiani;
259;Larry;Joey Tribbiani;
260;Terry;Joey Tribbiani;
261;l’hôpital;Infirmière à;
262;Tom;Infirmière à;
263;Tribbiani;Mary-Theresa;
264;Chrissy;Mary-Theresa;
265;Bob;Mary-Theresa;
266;Carl;Mary-Theresa;
267;Lizzy;Mary-Theresa;
268;Lynch;Mme;
269;Danielle;Mme;
270;Lilian;Mme;
271;Ashley;Jessica;
272;Lauren;Employé de Ralph;
273;parfumObsession;Vendeuse du;
274;Hillary;Vendeuse du;
275;Nonna;Vendeuse du;
276;Kristen;Vendeuse du;
277;enfant;Monica;
278;Franklin;Mr;
279;Millie;Tante;
280;Colleen;Tante;
281;Marsha;Tante;
282;Jade;Tante;
283;Bob;Tante;
284;Laura;Tante;
285;Rick;Tante;
286;Dan;Oncle;
287;Buffay;Leslie;
288;Buffay;Chandler;
289;Lisa;Tante;
290;Buffay;Frank Jr Jr;
291;Bob;Frank Jr Jr;
292;Shelley;Frank Jr Jr;
293;Tribbiani;Mary-Angela;
294;Dana;Mary-Angela;
295;Allessandro;Mary-Angela;
296;Posner;Mr;
297;Bill;Mr;
298;Andrew;Mr;
299;Potter;Mrs;
300;Alexander;Scott;
301;Jeannie;Scott;
302;Nancy;Scott;
303;Burt;Scott;
304;Joanne;Scott;
305;Sarah;Scott;
306;Lowell;Scott;
307;Heather;Scott;
308;Rhonda;Scott;
309;Ellen;Mary;
310;Leslie;Mary;
311;Tulsa;Assistante un peu dingue de Chandler à;
312;Eldad;Assistante un peu dingue de Chandler à;
313;McKenna;Mrs;
314;Thompson;Mr;
315;Joey;Metteur en scène de;
316;Paula;Metteur en scène de;
317;Lydia;Metteur en scène de;
318;Scott;Metteur en scène de;
319;Monica;Fausse;
320;Mel;Fausse;
321;Phil;Fausse;
322;Stevens;Fausse;
323;Katherine;Fausse;
324;Jeanette;Fausse;
325;massage;Réceptionniste du centre de;
326;Sherman;Professeur;
327;Biely;Dr;
328;Li;Dr;
329;Joan;Dr;
330;Gerson;Dr;
331;Suplies;Responsable chez Empire Office;
332;Petrie;Responsable chez Empire Office;
333;Casey;Responsable chez Empire Office;
334;X;Pompier, brancardier de Chandler et vampire dans une vidéo;
335;parfums;Directrice de casting, gérante d’un magasin de robes de mariée et démonstratrice de;
336;serveur;Directeur de casting, client de cabaret,;
337;jeu;Client du Central Perk, serveur au restaurant et responsable de;
338;civil;Officier d’état;
339;Weinberg;Ben et Mr;
340;Isaac;Ben et Mr;
341;Rachel;Voisin gourmand de Monica et conquête potentielle de;
342;casino;Croupier du;
343;Friesell;Professeur Ted;
344;l’Université;Ami d’Elizabeth à;
345;chapelle;Hôtesse d’une;
346;Randall;Hôtesse d’une;
347;l’hôtel;Réceptioniste de;
348;Cathy;Réceptioniste de;
349;Gail;Réceptioniste de;
350;Jonathan;Réceptioniste de;
351;Karabasos;Père;
352;restaurant;Responsable de;
353;Gert;Responsable de;
354;Carl;Responsable de;
355;Phillips;Dennis;
356;potentielle;Colocataire;
357;Ashley;Colocataire;
358;Amanda;Colocataire;
359;films;Réalisateur de;
360;l’avion;Gentleman de;
361;Margha;Gentleman de;
362;ivre;Invité plus agé et;
363;Horger;Julie;
364;mec;Grand;
365;Mayolanofavich;Lelani;
366;tournage;Garde du plateau de;
367;Atlantic;Employée de Virgin;
368;Harad;Dr;
369;Kings;Chanteur du groupe Swing;
370;admissions;Femme des;
371;Waltham;Gouvernante de la famille;
372;Melinda;Gouvernante de la famille;
373;mariages;Organisatrice de;
374;Rastatter;Mr;
375;Lydia;Mr;
376;restaurant;Serveur au;
377;mari;Future maman, insulte son;
378;Burke;Infirmière du cabinet;
379;Horger;Marc;
380;Fan;Marc;
381;Marcel;Dresseur de;
382;Roy;Dresseur de;
383;l’hôpital;Réceptionniste à;
384;Stanley;Réceptionniste à;
385;souple;Danseuse très;
386;Monica;Voisine du dessus de;
387;film;Directrice de casting pour un;
388;film;Directeur de casting pour un;
389;Bergen;Mr;
390;Littman;Sid;
391;plate-forme;Danseuse expérimentée sur une;
392;pressing;Femme du propriétaire du;
393;Saj;Guru;
394;Sarah;Guru;
395;Ballerine;Guru;
396;Gary;Guru;
397;Cow-girl;Guru;
398;mariage;Photographe du;
399;sommeil;Employée de la clinique du;
400;pressing;Teinturier, propriétaire du;
401;malin;Petit garçon;
402;Robin;Petit garçon;
403;l’hôpital;Docteur à;
404;Lipson;Mr;
405;Frankie;Mr;
406;Weston;Kory;
407;voiture;Conducteur de la;
408;Scorsese;Réalisateur du film de Martin;
409;Photographe;Réalisateur du film de Martin;
410;Oberman;Dr;
411;théâtre;Spectateur d’une pièce de;
412;Bijoutier;Spectateur d’une pièce de;
413;Max;Spectateur d’une pièce de;
414;self-défense;Professeur de;
415;cinéma;Technicien de plateau de;
416;l’hôpital;Infirmière de;
417;l’université;Étudiant à;
418;Miller;Dr;
419;Monkeyshine;Acteur dans la publicité;
420;théâtre;Spectatrice d’une pièce de;
421;Becky;Spectatrice d’une pièce de;
422;théâtre;Comédienne de;
423;femme;Futur papa, insulte sa;
424;hospitalier;Médecin;
425;Hilda;Médecin;
426;Casting;Directeur de;
427;mariées;Vendeuse de robes de;
428;Phoebe;Petit garçon fan de;
429;Corso;Bobby;
430;immobilier;Agent;
431;Phoebe;Lesbienne qui drague;
432;l’hôpital;Réceptionniste de;
433;Joey;Coursier qui apporte le script à;
434;train;Contrôleur de;
435;Bijoutière;Contrôleur de;
436;train;Femme dans le;
437;musicale;Directeur de comédie;
438;embrasse;Mariée que Chandler;
439;Amber;Mariée que Chandler;
440;Dan;Mariée que Chandler;
441;l’hôpital;Réceptionniste de;
442;contractions;La femme avec de faibles;
443;Bailey;Megan;
444;Zane;Dr;
445;Phoebe;Femme dans le clip de;
446;Phoebe;Productrice du clip vidéo de;
447;Lewis;Alan;
448;Oberblau;Professeur Jarvis;
449;lives;Figurante dans Days of our;
450;restaurant;Serveur au;
451;Eric;Serveur au;
452;hood;Homme de Pie in the;
453;tournage;Garde du plateau de;
454;Sonya;Garde du plateau de;
455;amie;Client qui désire épouser sa petite;
456;Haze;Productrice de la pièce de Leonard;
457;Caitlin;Productrice de la pièce de Leonard;
458;allure;Caméraman sur le tournage de À toute;
459;matelas;Gary, roi du;
460;Joey;Médecin de;
461;Perk;Cliente du Central;
462;télévision;Responsable du plateau de;
463;Richard;Rendez-vous galant de;
464;Jim;Rendez-vous galant de;
465;amie;Cliente du Central Perk avec une;
466;Tilly;Cliente du Central Perk avec une;
467;casting;Directrice de;
468;d’accouchement;Infirmière en salle;
469;Pete;Mère de;
470;matinal;Chanteur;
471;Emily;Chanteur;
472;Precious;Chanteur;
473;Morse;Ned;
474;Rhodes;Dr;
475;restaurant;Serveur dans un grand;
476;beauté;Réceptionniste dans un institut de;
477;rue;Une passante dans la;
478;Boon;Jenny;
479;Lives;Scénariste de Days of Our;
480;Porsche;Propriétaire de la;
481;Meg;Propriétaire de la;
482;mariage;Juge qui pourrait annuler le;
483;l’hôpital;Médecin de;
484;Karin;Médecin de;
485;Arik;Médecin de;
486;d’Erica;Gynécologue;
487;Bing;Domestique de la famille;
488;rue;Un passant dans la;
489;Tatoueuse;Un passant dans la;
490;Perk;Serveuse au Central;
491;Tia;Serveuse au Central;
492;Joel;Serveuse au Central;
493;Monica;Agent immobilier de Chandler et;
494;l’hôpital;Infirmière à;
495;Gianetti;Luisa;
496;sport;L’homme dans la voiture de;
497;déguisements;Vendeur de;
498;rue;Un passant futé dans la;
499;l’hôpital;Infirmière à l’accueil de;
500;Andrea;Infirmière à l’accueil de;
501;canard;Vétérinaire qui soigne le;
502;Amy;Vétérinaire qui soigne le;
503;rue;Un passant curieux dans la;
504;Michelle’s;Maître d’hôtel du restaurant;
505;canapés;Vendeuse dans un magasin de;
506;rue;Une passante dans la;
507;miel;Femme en lune de;
508;Gordon;Tom;
509;Perk;Client du Central;
510;Jen;Client du Central;
511;débutants;Professeur de cuisine pour;
512;Burkart;Mme;
513;Noël;Acheteur de sapins de;
514;banc;Grand-mère assise sur un;
515;Kara;Grand-mère assise sur un;
516;potentielle;Une acheteuse;
517;Sebastian;Une acheteuse;
518;femme;L’horrible;
519;Boyle;Buddy;
520;restaurant;Collègue du serveur gay au;
521;lit;Livreur de;
522;Ginger;Livreur de;
523;Ross;Petite fille, voisine de;
524;voyage;Agent de;
525;Pasteur;Le;
526;Joey;Elève du cours de comédie de;
527;adultes;Professeur de littérature pour;
528;Rita;Professeur de littérature pour;
529;Cal;Professeur de littérature pour;
530;Phoebe;Fille d’un client de;
531;Michelle’s;Client du restaurant;
532;Oberman;Docteur;
533;mariage;Planificatrice du;
534;Brenda;Planificatrice du;
535;Ross;Elève de;
536;Ross;Vieil homme, voisin de;
537;Perk;Cliente du Central;
538;d’Helena;Serveuse dans le cabaret;
539;bus;Un passant pauvre qui prend le;
540;paléontologie;L’étudiante du rayon;
541;Perk;Client du Central;
542;pizza;Livreur de;
543;d’Emma;Baby-sitter potentielle;
544;restaurant;Maître d’hôtel dans un;
545;d’hôtel;Maître;
546;Tuttle;Sarah;
547;Monica;Prostituée engagée par;
548;littérature;Étudiante qui suit les cours de;
549;casting;Assistant de;
550;l’hôpital;Médecin à;
551;noms;Responsable des changements de;
552;l’aéroport;Agent d’embarquement à;
553;restaurant;Serveuse dans un;
554;dînent;Serveur du restaurant où Rachel et Michael;
555;bibliothèquaire;Assistant;
556;Tony;Assistant;
557;paléontologie;L’étudiant du rayon;
558;Perk;Cliente du Central;
559;Klarik;Professeur;
560;Carl;Professeur;
561;Ed;Pompier;
562;fumeuse;Passante;
563;aérienne;Employée de la compagnie;
564;Oberblau;Mrs Nancy;
565;coma;Homme dans le;
566;Monica;Invité à la fête de;
567;casino;Employée du;
568;téléphone;Client du restaurant au;
569;Stephanie;Client du restaurant au;
570;Ellen;Client du restaurant au;
571;table;Femme à la;
572;Kitty;Infirmière;
573;Marge;Infirmière;
574;Monica;Invitée à la fête de;
575;Charlie;Pompier;
576;Dave;Pompier;
577;ultime;Arbitre de combat;
578;Jester;Arbitre de combat;
579;restaurant;Serveur dans un;
580;Nana;Infirmière qui s’occupe de;
581;Sarah;Infirmière qui s’occupe de;
582;Adelman;Mr;
583;Phoebe;Gynécologue de;
584;canapés;Vendeur dans un magasin de;
585;Arthur;Vendeur dans un magasin de;
586;Nichols;Charla;
587;Rosten;JC;
588;Voleur;JC;
589;l’hôpital;Infirmière à;
590;Abbott;Tank;
591;Lisa;Tank;
592;bibliothèque;Le garçon dans la;
593;Manny;Le garçon dans la;
594;universitaire;Responsable de la bibliothèque;
595;Lamaze;Professeur de;
596;l’hôtel;Employée d’accueil de;
597;Krista;Employée d’accueil de;
598;Joey;Voisin de Ross à la recherche de;
599;PBS;Bénévole du Téléthon sur;
600;surdoué;Gamin;
601;l’hôpital;Responsable de;
602;Verhoeven;Mrs;
603;Boy;Bratty;
604;Petty;Officier;
605;Joey;Assistant réalisateur dans un film où joue;
606;Hoshi;Assistant réalisateur dans un film où joue;
607;l’avion;Passagère dans;
608;Lambert;Karen;
609;aérienne;Employé de la compagnie;
610;Paris;Hôtesse de l’air sur le vol pour;
611;l’avion;Passager nerveux dans;
612;Ronni;Passager nerveux dans;
613;Raymond;Passager nerveux dans;
614;films;Réalisateur de;
615;Owen;Réalisateur de;
616;Javu;Client critique du restaurant;
617;Peter;Client critique du restaurant;
618;comptabilité;Gardien au service;
619;Soapies;Présentatrice de la cérémonie des;
620;Catherine;Présentatrice de la cérémonie des;
621;Barman;Présentatrice de la cérémonie des;
622;Mona;Petit ami de;
623;L’homme;Petit ami de;
624;Jeannettes;Chef de meute des;
625;l’aéroport;Employée de;
626;ultime;Commentateur du combat;
627;Handson;Officier;
628;Samantha;Officier;
629;miel;Homme en lune de;
630;Sally;Homme en lune de;
631;Gettlman;Dr;
632;#1;Pompier;
633;Tabitha;Pompier;
634;Maria;Pompier;
635;Rick;Pompier;
636;sport;Employé de la salle de;
637;dortoir;Premier mec du;
638;aérienne;Représentant de la compagnie;
639;Phoebe;Pompier chez;
640;taxi;Homme dans le;
641;Lester;Gene;
642;Gettlman;Réceptionniste au cabinet du Dr;
643;l’avion;Passager dans;
644;Kyle;Passager dans;
645;aérienne;Hôtesse compagnie;
646;Whitfield;Sherman;
647;publicité;Directrice de casting pour une;
648;Devon;Directrice de casting pour une;
649;casino;Joueur saoul au;
650;#2;Pompier;
651;cigarette;Homme à la;
652;Sizemore;Homme à la;
653;Palace;Agent de sécurité au Caesar’s;
654;Kevin;Agent de sécurité au Caesar’s;
655;Homme;Agent de sécurité au Caesar’s;
656;Tom;Agent de sécurité au Caesar’s;
657;claquettes;Professeur de;
658;restaurant;Serveur dans un;
659;femme;Vieille;
660;Liam;Vieille;
661;télévision;Responsable du plateau de;
662;Zoe;Responsable du plateau de;
663;Schiff;Dr;
664;magasin;Premier client du matin du grand;
665;Responsable;Premier client du matin du grand;
666;urgences;Docteur des;
667;Tyler;Mr;
668;Vermont;Réceptionniste de l’hôtel dans le;
669;Connelly;Dr;
670;femme;La;
671;Palace;Touriste cliente du Caesar’s;
672;Ross;Serrurier appelé par;
673;Bill;Serrurier appelé par;
674;mariage;Invitée du;
675;restaurant;Maître d’hôtel d’un grand;
676;Iridium;Serveur au restaurant;
677;PhilloSophie;Serveur au;
678;Bowmont;Mr;
679;Patrick;Mr;
680;mariage;Seconde invitée du;
681;porter;Cliente d’une boutique de prêt à;
682;Henrietta;Cliente d’une boutique de prêt à;
683;docteur;Fillette dans le cabinet du;
684;Gettlman;Assistante du Dr;
685;Monica;Masseuse de;
686;l’avion;Hôtesse dans;
687;Post;Critique culinaire du;
688;chic;Serveur dans un restaurant;
689;fertilité;Infirmière du service des tests de;
690;l’hôtel;Concierge de;
691;Javu;Client du restaurant;
692;Palace;Directeur du Caesar’s;
693;massage;Patronne du salon de;
694;Howard;Invité à la fête pour;
695;Javu;Client du restaurant;
696;Steve;Client du restaurant;
697;dramatique;Professeur d’art;
698;Fischer;Steven;
699;enfants;Réceptionniste de l’association de soutien aux;
700;Howard;Invitée à la fête pour;
701;docteur;Petit garçon dans le cabinet du;
702;d’appartement;Installateur de protections enfant;
703;d’adoption;Employé de l’agence;
704;restaurant;Serveur au;
705;Ray;Serveur au;
706;Perk;Serveuse au Central;
707;Pizza;Livreur de;
708;Glenda;Livreur de;
709;Howard;Invité à la fête pour;
710;bronzage;Homme du salon de;
711;accouche;La femme qui;
712;l’avion;Autre passager dans;
